cpf;nome paciente;email paciente;data nascimento paciente;endereço/rua paciente;cidade paciente;estado patiente;crm médico;crm médico estado;nome médico;email médico;token resultado exame;data exame;tipo exame;limites tipo exame;resultado tipo exame
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;tgp;38-63;34
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;eletrólitos;2-68;92
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;tsh;25-80;21
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;t4-livre;34-60;95
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;ácido úrico;15-61;10
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;hemácias;45-52;75
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;leucócitos;9-61;24
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;plaquetas;11-93;26
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;hdl;19-75;87
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;ldl;45-54;21
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;vldl;48-72;76
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;glicemia;25-83;86
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;tgo;50-84;2
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;tgp;38-63;84
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;eletrólitos;2-68;90
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;tsh;25-80;94
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;t4-livre;34-60;35
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;ácido úrico;15-61;94
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;hemácias;45-52;81
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;leucócitos;9-61;61
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;plaquetas;11-93;77
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;hdl;19-75;50
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;ldl;45-54;84
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;vldl;48-72;85
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;glicemia;25-83;0
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;tgo;50-84;61
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;tgp;38-63;50
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;eletrólitos;2-68;94
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;tsh;25-80;84
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;t4-livre;34-60;64
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;ácido úrico;15-61;58
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;hemácias;45-52;81
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;leucócitos;9-61;66
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;plaquetas;11-93;68
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;hdl;19-75;49
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;ldl;45-54;24
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;vldl;48-72;36
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;glicemia;25-83;86
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;tgo;50-84;35
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;tgp;38-63;99
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;eletrólitos;2-68;19
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;tsh;25-80;95
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;t4-livre;34-60;39
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;ácido úrico;15-61;62
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;hemácias;45-52;39
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;leucócitos;9-61;89
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;plaquetas;11-93;98
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;hdl;19-75;87
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;ldl;45-54;49
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;vldl;48-72;18
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;glicemia;25-83;0
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;tgo;50-84;36
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;tgp;38-63;8
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;eletrólitos;2-68;29
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;tsh;25-80;40
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;t4-livre;34-60;59
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;ácido úrico;15-61;57
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;hemácias;45-52;59
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;leucócitos;9-61;12
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;plaquetas;11-93;2
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;hdl;19-75;7
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;ldl;45-54;73
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;vldl;48-72;82
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;glicemia;25-83;23
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;tgo;50-84;85
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;tgp;38-63;87
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;eletrólitos;2-68;90
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;tsh;25-80;19
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;t4-livre;34-60;38
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;ácido úrico;15-61;64
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;hemácias;45-52;13
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;leucócitos;9-61;80
